province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m)
安徽,580150,砀山,3427,11620.0,45.4
安徽,580160,萧县,3411,11658.0,35.9
安徽,581020,亳州,3352,11546.0,39.2
安徽,581070,临泉,3301,11517.0,37.0
安徽,581080,界首,3314,11520.0,35.0
安徽,581090,太和,3311,11537.0,34.2
安徽,581120,天柱山,3044,11627.0,969.4
安徽,581130,濉溪,3356,11645.0,32.8
安徽,581140,涡阳,3329,11611.0,32.3
安徽,581160,淮北,3359,11650.0,32.7
安徽,581170,利辛,3308,11612.0,29.4
安徽,581180,蒙城,3316,11631.0,27.2
安徽,581220,宿州,3338,11659.0,27.1
安徽,581250,灵璧,3335,11731.0,24.4
安徽,581260,泗县,3328,11752.0,20.7
安徽,581270,怀远,3259,11712.0,22.4
安徽,581280,固镇,3320,11721.0,22.2
安徽,581290,五河,3309,11750.0,16.1
安徽,582020,阜南,3240,11534.0,32.4
安徽,582030,阜阳,3252,11544.0,33.9
安徽,582100,颍上,3239,11614.0,26.2
安徽,582120,凤台,3243,11646.0,24.2
安徽,582140,霍邱,3220,11617.0,34.1
安徽,582150,寿县,3226,11647.0,26.9
安徽,582200,长丰,3228,11709.0,29.3
安徽,582210,蚌埠,3251,11718.0,28.0
安徽,582220,凤阳,3251,11733.0,25.6
安徽,582230,明光,3248,11759.0,32.6
安徽,582240,淮南,3239,11701.0,33.6
安徽,582250,定远,3232,11740.0,70.6
安徽,582340,来安,3228,11825.0,41.6
安徽,582360,滁州,3221,11815.0,34.7
安徽,582400,天长,3241,11901.0,22.5
安徽,583060,金寨,3141,11553.0,96.5
安徽,583110,六安,3144,11630.0,75.3
安徽,583140,霍山,3124,11619.0,87.6
安徽,583160,舒城,3128,11655.0,24.8
安徽,583170,岳西,3052,11622.0,435.4
安徽,583190,桐城,3104,11657.0,86.0
安徽,583200,肥西,3144,11708.0,22.8
安徽,583210,合肥,3147,11718.0,28.2
安徽,583230,肥东,3153,11728.0,26.0
安徽,583260,巢湖,3135,11750.0,31.9
安徽,583270,庐江,3116,11717.0,46.4
安徽,583290,无为,3120,11752.0,10.8
安徽,583300,含山,3145,11805.0,27.0
安徽,583310,和县,3144,11822.0,23.5
安徽,583340,芜湖,3123,11822.0,10.7
安徽,583350,当涂,3134,11831.0,24.4
安徽,583360,马鞍山,3142,11834.0,81.2
安徽,583370,繁昌,3105,11811.0,28.0
安徽,583380,芜湖县,3109,11835.0,18.3
安徽,584170,宿松,3010,11608.0,55.9
安徽,584290,铜陵,3059,11751.0,12.2
安徽,584310,南陵,3054,11819.0,40.2
安徽,584320,泾县,3041,11824.0,58.4
安徽,584330,宣城,3056,11845.0,32.2
安徽,584350,旌德,3018,11832.0,221.3
安徽,584360,宁国,3037,11859.0,88.5
安徽,584370,黄山,3008,11809.0,1841.4
安徽,584410,广德,3052,11925.0,44.3
安徽,584420,郎溪,3110,11911.0,17.7
安徽,585200,祁门,2951,11743.0,143.1
安徽,585230,黟县,2956,11756.0,228.7
安徽,585300,歙县,2952,11826.0,170.1
安徽,585310,屯溪,2943,11817.0,143.9
安徽,585340,休宁,2947,11811.0,171.4
北京,543980,顺义,4008,11637.0,29.6
北京,543990,海淀,3959,11617.0,46.9
北京,544060,延庆,4027,11558.0,489.1
北京,544160,密云,4023,11652.0,73.0
北京,544190,怀柔,4022,11638.0,76.8
北京,544210,密云上甸子,4039,11707.0,294.3
北京,544240,平谷,4010,11707.0,33.3
北京,544310,通州,3955,11638.0,44.5
北京,544330,朝阳,3957,11630.0,36.3
北京,544990,昌平,4013,11613.0,77.4
北京,545010,斋堂,3958,11541.0,441.3
北京,545050,门头沟,3956,11606.0,99.1
北京,545110,北京,3948,11628.0,32.5
北京,545130,石景山,3957,11612.0,66.8
北京,545140,丰台,3952,11615.0,56.7
北京,545940,大兴,3943,11621.0,38.8
北京,545960,房山,3946,11612.0,49.9
北京,545970,霞云岭,3944,11544.0,408.7
福建,587240,光泽,2732,11719.0,269.2
福建,587250,邵武,2720,11728.0,218.9
福建,587300,武夷山,2746,11802.0,223.1
福建,587310,浦城,2755,11832.0,277.9
福建,587340,建阳,2720,11807.0,198.1
福建,587350,松溪,2731,11845.0,261.3
福建,587360,政和,2723,11849.0,263.6
福建,587370,建瓯,2703,11819.0,155.7
福建,587440,寿宁,2727,11925.0,816.9
福建,587470,周宁,2709,11921.0,900.3
福建,587480,福安,2706,11939.0,51.5
福建,587490,柘荣,2714,11953.0,685.1
福建,587540,福鼎,2720,12012.0,37.0
福建,588180,宁化,2614,11638.0,359.7
福建,588190,清流,2611,11649.0,338.0
福建,588200,泰宁,2654,11710.0,344.1
福建,588220,建宁,2650,11651.0,343.5
福建,588230,顺昌,2648,11748.0,176.4
福建,588240,明溪,2624,11709.0,358.4
福建,588260,沙县,2624,11748.0,121.5
福建,588280,三明,2616,11737.0,209.2
福建,588360,古田,2635,11844.0,362.7
福建,588370,尤溪,2609,11809.0,205.9
福建,588390,闽清,2614,11851.0,41.8
福建,588430,霞浦,2653,12001.0,57.8
福建,588440,闽侯,2609,11909.0,58.6
福建,588450,罗源,2630,11932.0,61.5
福建,588460,宁德,2640,11931.0,33.2
福建,588470,福州,2605,11917.0,84.8
福建,588480,连江,2612,11933.0,14.4
福建,588500,三沙,2655,12014.0,93.2
福建,589110,长汀,2551,11622.0,311.2
福建,589170,武平,2505,11606.0,308.2
福建,589180,上杭,2503,11625.0,198.7
福建,589230,大田,2542,11750.0,400.9
福建,589260,漳平,2518,11725.0,206.5
福建,589270,龙岩,2503,11701.0,377.0
福建,589280,华安,2501,11732.0,167.7
福建,589290,安溪,2504,11809.0,69.0
福建,589310,九仙山,2543,11806.0,1654.6
福建,589320,永泰,2552,11856.0,86.6
福建,589340,永春,2520,11816.0,171.3
福建,589350,德化,2529,11814.0,522.4
福建,589380,秀屿,2514,11859.0,24.3
福建,589410,长乐,2558,11930.0,26.9
福建,589420,福清,2543,11923.0,40.3
福建,589440,平潭,2531,11947.0,33.4
福建,589460,莆田,2527,11900.0,81.9
福建,591130,永定,2444,11643.0,227.9
福建,591220,长泰,2437,11745.0,44.0
福建,591240,南靖,2431,11723.0,54.7
福建,591250,平和,2423,11718.0,109.5
福建,591270,龙海,2426,11750.0,32.8
福建,591290,漳浦,2408,11736.0,53.8
福建,591300,同安,2444,11809.0,31.7
福建,591310,南安,2458,11822.0,46.6
福建,591330,崇武,2454,11855.0,22.5
福建,591340,厦门,2429,11804.0,140.6
福建,593200,诏安,2345,11708.0,38.8
福建,593220,云霄,2359,11722.0,23.8
甘肃,523230,马鬃山,4148,9702.0,1771.6
甘肃,525150,肃北,3931,9452.0,2138.6
甘肃,525330,酒泉,3946,9829.0,1478.4
甘肃,525460,高台,3922,9950.0,1333.4
甘肃,525570,临泽,3909,10010.0,1454.9
甘肃,526430,肃南,3850,9937.0,2313.0
甘肃,526520,张掖,3905,10017.0,1462.3
甘肃,526560,民乐,3826,10049.0,2282.6
甘肃,526740,永昌,3814,10158.0,1978.1
甘肃,526790,武威,3755,10240.0,1532.7
甘肃,526810,民勤,3838,10305.0,1368.7
甘肃,527840,古浪,3728,10254.0,2073.6
甘肃,527870,乌鞘岭,3712,10252.0,3046.3
甘肃,527970,景泰,3711,10403.0,1632.1
甘肃,528810,天祝,3659,10311.0,2486.0
甘肃,528840,皋兰,3621,10357.0,1669.7
甘肃,528850,永登,3645,10315.0,2120.0
甘肃,528950,靖远,3634,10441.0,1399.4
甘肃,528960,白银,3633,10409.0,1739.9
甘肃,529780,夏河,3512,10231.0,2930.6
甘肃,529800,永靖,3558,10318.0,1649.2
甘肃,529810,东乡,3541,10323.0,2422.2
甘肃,529820,广河,3529,10333.0,1954.4
甘肃,529830,榆中,3552,10409.0,1875.6
甘肃,529840,临夏,3535,10311.0,1918.4
甘肃,529850,和政,3525,10320.0,2164.0
甘肃,529860,临洮,3522,10352.0,1895.0
甘肃,529880,康乐,3522,10343.0,2017.0
甘肃,529930,会宁,3541,10504.0,1740.6
甘肃,529950,安定,3535,10437.0,1898.4
甘肃,529960,华家岭,3523,10501.0,2451.8
甘肃,529980,渭源,3508,10412.0,2112.2
甘肃,538210,环县,3634,10718.0,1256.8
甘肃,538290,庆城,3559,10754.0,1094.9
甘肃,539060,静宁,3531,10543.0,1657.6
甘肃,539080,通渭,3513,10514.0,1769.4
甘肃,539150,崆峒,3533,10640.0,1347.8
甘肃,539170,庄浪,3513,10604.0,1632.2
甘肃,539230,西峰,3544,10738.0,1422.2
甘肃,539240,灵台,3504,10737.0,967.8
甘肃,539250,镇原,3541,10711.0,1173.7
甘肃,539260,泾川,3521,10721.0,1030.0
甘肃,539270,华亭,3512,10637.0,1478.8
甘肃,539280,崇信,3518,10701.0,1150.3
甘肃,539300,华池,3627,10759.0,1272.2
甘肃,539340,合水,3547,10759.0,1275.7
甘肃,539350,正宁,3529,10824.0,1483.1
甘肃,539370,宁县,3531,10755.0,980.6
甘肃,560710,碌曲,3435,10230.0,3106.9
甘肃,560740,玛曲,3400,10205.0,3472.6
甘肃,560800,合作,3500,10254.0,2911.2
甘肃,560810,临潭,3442,10321.0,2811.4
甘肃,560820,卓尼,3435,10330.0,2541.5
甘肃,560840,迭部,3404,10314.0,2375.4
甘肃,560910,漳县,3451,10428.0,1884.5
甘肃,560920,陇西,3500,10439.0,1729.4
甘肃,560930,岷县,3426,10401.0,2316.2
